"Subject" "Activity" "total_acc_z.mean" "total_acc_z.sd" "total_acc_y.mean" "total_acc_y.sd" "total_acc_x.mean" "total_acc_x.sd" "body_gyro_z.mean" "body_gyro_z.sd" "body_gyro_y.mean" "body_gyro_y.sd" "body_gyro_x.mean" "body_gyro_x.sd" "body_acc_z.mean" "body_acc_z.sd" "body_acc_y.mean" "body_acc_y.sd" "body_acc_x.mean" "body_acc_x.sd"
1 1 0.0315789473684211 0.0736842105263158 0.126315789473684 0.189473684210526 0.263157894736842 0.347368421052632 0.536842105263158 0.642105263157895 0.0947368421052631 0.221052631578947 0.357894736842105 0.505263157894737 0.663157894736842 0.831578947368421 1.01052631578947 1.2 1.4 1.61052631578947
1 2 -0.934464263559322 -0.951426695762712 -0.954149011525424 -0.886528541111695 375.841251653973 751.958643935498 1502.34439978906 1876.61762441296 6.15224010413457e-310 6.05350423647114e-310 6.05305112343455e-310 6.05259793975689e-310 6.15103169128746e-310 6.15062832167815e-310 6.15022554285648e-310 6.14982272217757e-310 6.05078468003397e-310 6.050331585902e-310
1 3 -0.945275259137931 -0.942495672241379 -0.945703395 -0.938781939482759 -0.94151550637931 -0.945510105517241 -0.952678945689655 -0.951032027758621 6.15650634621523e-310 6.15609645660148e-310 6.15568669189187e-310 6.15527697637248e-310 6.15486727401954e-310 6.05645595808381e-310 6.0559950869783e-310 6.15404800444492e-310 6.1536382397449e-310 6.15322860080188e-310
1 4 -0.916658154333333 -0.911789340333333 -0.925448512833333 -0.927186544666667 -0.9297935225 -0.9374493025 -0.946787263666667 -0.956171875333333 -0.0333333333333343 -0.0333333333333343 5.34739864556808e-310 5.80796617504579e-310 5.89974438412148e-310 5.89929870459793e-310 5.99162766820886e-310 5.99123156232985e-310 5.9908355157356e-310 5.89796055247248e-310
1 5 -0.947502598035714 -0.9341003075 -0.928287598035714 -0.922660468035714 -0.91602711875 -0.915177626964286 -0.910622675892857 -0.919703157321429 1.53568835427907e-310 1.53314195932932e-310 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152 4.79783783311537e+152
1 6 -0.934671497017544 -0.930100838947368 -0.929679495614035 -0.931293435438596 -0.940359695263158 -0.942898041403509 -0.955918351754386 -0.961347294035088 3.07422112627221e-39 2.18684128274528e-39 3.02226707303137e-39 3.02226707303137e-39 3.02226707303137e-39 1.98122466582034e-39 1.98124133451146e-39 1.98124133425693e-39 8.35482274942125e-40 8.35497382597519e-40
1 7 -0.927957797947368 -0.927684132333333 -0.943790895438597 -0.938768493684211 -0.938758287192982 -0.939923093333333 -0.945508997192982 -0.95012881122807 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 -0.0350877339381745 7.50370320688443e-35
1 8 -0.95709535125 -0.956189242291667 -0.949340725416667 -0.950316658333333 -0.941784100833333 -0.9547454075 -0.944294311666667 -0.942788583125 2.16667223477661e-44 2.16667223407196e-44 7.30719859733046e-35 7.30734073170559e-35 7.30734072953894e-35 7.30734072953894e-35 7.30734072953897e-35 7.30734072953897e-35 7.30734072953897e-35 -0.0416666840515822
1 9 -0.927506531346154 -0.927710518076923 -0.920816599615385 -0.915502509230769 -0.921466142115385 -0.930595980576923 -0.93951999 -0.948444280769231 7.48754630263635e-35 7.48743784075446e-35 7.48743784075446e-35 7.48743784241082e-35 7.48730668648279e-35 7.48730668648276e-35 6.54022906707388e-44 4.45235511529527e-44 4.45235511529527e-44 4.45238037400992e-44
1 10 -0.930944890754717 -0.93655964490566 -0.944614268679245 -0.953256574716981 -0.959758203207547 -0.954885091509434 -0.948612355283019 -0.94863753 1.51587772187128e-310 1.51466858464671e-310 1.5156294884013e-310 1.51604588002814e-310 1.51182591103909e-310 1.51128540267714e-310 1.50754588556544e-310 1.50785017175442e-310 1.51148559095982e-310 1.51529717585309e-310
1 11 -0.977752736610169 -0.982136186101695 -0.982446458305085 -0.983994683728814 -0.980695152542373 -0.978494273728814 -0.970814658813559 -0.97006614779661 0.0232996361666067 0.025564110361018 0.0580441018483375 0.0980560751474258 0.136791286822279 0.175399900454918 0.218763034946092 0.261368699099047 0.30274429593259 0.343766981225445
1 12 -0.983820027 -0.9861694436 -0.9809306784 -0.9810433622 -0.9837868002 -0.9817307472 -0.975874837 -0.9750779666 0.022244036669178 0.0230222906243082 0.0220381333634771 0.0222712775672823 0.0562718496604848 0.0999278096081356 0.142750726718785 0.184143028564631 0.21513089362836 0.252174861550164
1 13 -0.948993444561404 -0.949673532807017 -0.942941966140351 -0.937619399649123 -0.941621929649123 -0.940929396315789 -0.946096955614035 -0.952775785614035 0.0368726771382491 0.0342930800402877 0.0351922994191244 0.0323757289137226 0.0368822075048809 0.054942312656941 0.0739760211565098 0.100275382190884 0.127190656568349 0.150861575418036
1 14 -0.914193488474576 -0.92413413661017 -0.93346522220339 -0.939881197457627 -0.9526223 -0.960680684745763 -0.974438189152542 -0.980069627118644 0.0417655853443485 0.0387055542576767 0.0377185356099515 0.0368704542229597 0.0512059335760923 0.0696802323078976 0.0918361918655153 0.117017729452351 0.141005703493784 0.163291982234684
1 15 -0.979939233518519 -0.981385795 -0.984698373333333 -0.984123149444444 -0.976479680740741 -0.976514996666667 -0.982906570185185 -0.979521152592593 0.0360128253560613 0.0355415987143126 0.034239832625301 0.03612884637559 0.03512528480802 0.0334954951053691 0.0488377959800774 0.0848684565236919 0.118366563315085 0.15649931646188
1 16 -0.977258705294118 -0.977080935882353 -0.973285858235294 -0.972140179215686 -0.964706969019608 -0.957591974117647 -0.949920335882353 -0.948002136078431 0.029788952072921 0.0274729699746514 0.0271199111620049 0.0246978047914459 0.0269324217615339 0.0333230823195563 0.0320601403405158 0.0330590968135162 0.0334836456034643 0.0417960427791772
1 17 -0.982634324754098 -0.980993892622951 -0.98329380147541 -0.984302926393443 -0.982444397704918 -0.982394073278689 -0.98342159295082 -0.987378731803279 0.051337611375698 0.025839278372525 0.0265739993232239 0.0296446282628129 0.0291446785885187 0.0281940126554339 0.0276005630081273 0.0255077933666347 0.0285445637164455 0.0276355719573169
1 18 -0.724486712321429 -0.726871285892857 -0.726796618214286 -0.717618613928571 -0.7968709375 -0.822104531785714 -0.975892507678571 -0.97524300625 0.381339171392161 0.369366163716993 0.363226063730436 0.361266734079879 0.364636403424604 0.354714325682609 0.319883040831194 0.285492600306445 0.249768978987639 0.214836016112303
1 19 -0.953159586923077 -0.950493105384615 -0.944007832115385 -0.948684072692308 -0.9615204 -0.956146477884615 -0.956946200384615 -0.947383686730769 0.301419640248465 0.355093035791865 0.388859751707042 0.422857126232567 0.42756346021806 0.42046659120026 0.413337228229341 0.405379336851667 0.374260424201073 0.344091334162394
1 20 -0.960272085882353 -0.952264503137255 -0.955104640392157 -0.946412477647059 -0.94269785627451 -0.940807802941176 -0.94800537372549 -0.953763153333333 0.0214064791738779 0.0241181907576473 0.0214418360634037 0.0560826496979989 0.0929407657024098 0.131843749192933 0.170535018113004 0.206034056039447 0.240615311224178 0.275489718082352
